Municipality_ID,Location_Name_En,Location_Name_Arabic ,Latitude,Longitude,Governorate,Governorate_Ar,UN_AreaOfOperation,UN_AreaOfOperation_Ar,District,District_Ar,Google_Map_link
M604,Aabba,عبا,33.36073,35.40019,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.36073,35.40019"
M536,Aabbassiye,عباسية ,33.29851,35.28217,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.29851,35.28217"
M472,Aabra,عبرا ,33.56681,35.40574,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.56681,35.40574"
M694,Aadaisse,عديسة مرجعيون,33.25443,35.54156,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.25443,35.54156"
M612,Aadchit ech Chqif,عدشيت الشقيف,33.34820,35.42032,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.3482,35.42032"
M709,Aadchit el Qoussair,عدشيت القصير,33.27677,35.48004,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.27677,35.48004"
M952,Aadloun,عدلون,33.40539,35.27283,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.40539,35.27283"
M491,Aaddoussiye,عدّوسية,33.47144,35.34284,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.47144,35.34284"
M542,Ain Baal,عين بعل,33.23348,35.26925,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.23348,35.26925"
M478,Ain Ed Delb,عين الدلب,33.54110,35.40489,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.5411,35.40489"
M647,Ain Ebel,عين ابل,33.11155,35.40084,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.11155,35.40084"
M609,Ain Qana,عين قانا,33.47184,35.50931,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.47184,35.50931"
M676,Ain Qenya,عين قنيا,33.39882,35.70625,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.39882,35.70625"
